644.96634857,  646.82844228
781.10353735,  557.55815455
974.15053455,  467.17198823
796.7258377 ,  514.03888929
820.15928823,  394.63987946
948.48532683,  357.81588577
1007.62689244,  312.06486331
862.56267489,  306.48547033
695.18088541,  371.20642893
955.8930793 ,  210.36890182
959.47349888,  209.34592479
955.38159078,  204.23103968
983.51345892,  206.78848224
897.07190048,  199.11615456
920.08888349,  195.53573498
519.33763474,  580.68658413
676.62035202,  220.59867205
683.78119118,  225.20206865
689.40756481,  218.552718
711.91305932,  223.66760312
718.05092145,  226.22504567
779.42954283,  219.57569502
904.74422815,  223.1561146
905.76720517,  235.94332739
974.81815422,  202.18508563
955.8930793 ,  199.11615456
223.02647629,  256.13144866
270.96218698,  266.45332568
287.70036593,  254.17866112
307.50721102,  242.7409055
290.76903207,  240.50914831
268.45146014,  239.39326971
251.1553419 ,  249.15720743
235.53304154,  249.71514673
240.27552558,  232.97696778
234.97510225,  233.25593743
227.44292172,  234.09284638
219.35280189,  234.65078568
209.30989453,  240.50914831
201.2197747 ,  234.92975533
196.19832102,  228.79242305
206.52019803,  224.32890866
197.31419961,  219.58642463
202.05668365,  214.84394059
178.06529382,  224.04993901
183.36571716,  227.11860515
187.27129224,  227.11860515
256.45576523,  237.99842147
266.21970295,  225.23556002
281.284064  ,  230.53598335
291.88491067,  225.65401449
279.61024611,  221.74843941
279.33127646,  211.42656239
273.8913683 ,  217.28492502
268.86991462,  219.09822774
266.08021812,  213.79780441
270.40424769,  210.03171414
291.88491067,  233.74413432
298.99863672,  226.90937791
1019.20241085,  222.37612112
901.47721891,  244.4147234
897.57164383,  232.69799813
831.45583698,  214.56497094
828.94511014,  214.56497094
820.01808137,  215.68084954
956.43423979,  217.63363708
941.09090909,  210.10145655
940.53296979,  196.43194375
936.6273947 ,  191.96842936
907.33558155,  190.57358112
